Day,국민주택채권,산업금융채권,통화안정증권,서울지하철공채
14-Aug,1015.4 ,2111.1 ,16000.0 ,48.5 
14-Sep,1153.6 ,2604.5 ,16970.0 ,47.3 
14-Oct,1214.4 ,2256.7 ,15170.0 ,49.4 
14-Nov,1126.9 ,2366.5 ,15270.0 ,51.6 
14-Dec,1281.3 ,2373.6 ,15000.0 ,57.8 
15-Jan,1034.6 ,3577.3 ,16330.0 ,62.0 
15-Feb,997.4 ,2409.4 ,15900.0 ,46.0 
15-Mar,2534.2 ,3160.6 ,17850.0 ,63.6 
15-Apr,1342.3 ,2415.5 ,16960.0 ,60.0 
15-May,1203.2 ,929.1 ,16980.0 ,54.6 
15-Jun,1338.4 ,3164.4 ,17910.0 ,64.7 
15-Jul,1296.1 ,2828.9 ,14910.0 ,60.3 
15-Aug,1191.1 ,2541.2 ,15000.0 ,50.1 
15-Sep,1138.8 ,1806.2 ,13000.0 ,59.8 
15-Oct,1440.5 ,3553.4 ,15600.0 ,54.3 
15-Nov,1212.5 ,4995.6 ,13320.0 ,62.4 
15-Dec,1445.0 ,2320.3 ,14270.0 ,79.8 
16-Jan,1012.5 ,2997.0 ,15100.0 ,63.7 
16-Feb,2490.6 ,3294.8 ,15100.0 ,50.7 
16-Mar,1041.1 ,1775.4 ,14740.0 ,74.1 
16-Apr,1028.4 ,1559.1 ,14440.0 ,63.6 
16-May,1134.0 ,3547.9 ,15640.0 ,65.0 
16-Jun,1468.9 ,2490.3 ,15820.0 ,80.5 
16-Jul,1296.0 ,2656.3 ,13100.0 ,62.4 
16-Aug,1350.7 ,3930.6 ,13580.0 ,55.7 
16-Sep,1302.7 ,3891.3 ,11620.0 ,57.0 
16-Oct,1272.2 ,4899.0 ,12600.0 ,60.7 
16-Nov,1269.6 ,4016.4 ,10310.0 ,64.4 
16-Dec,1264.0 ,4098.6 ,9060.0 ,70.7 
17-Jan,1006.9 ,5085.9 ,13320.0 ,74.6 
17-Feb,1087.4 ,4216.3 ,16300.0 ,62.7 
17-Mar,1121.7 ,3932.0 ,14140.0 ,77.3 
17-Apr,1089.2 ,3620.6 ,15220.0 ,64.7 
17-May,1131.3 ,3816.7 ,13560.0 ,66.1 
17-Jun,1363.4 ,3932.5 ,15100.0 ,71.8 
17-Jul,1247.8 ,3774.8 ,13290.0 ,60.9 
17-Aug,1381.5 ,3681.6 ,14600.0 ,59.8 
17-Sep,1342.7 ,4302.8 ,12440.0 ,69.0 
17-Oct,1009.8 ,5840.3 ,12820.0 ,52.9 
17-Nov,1260.4 ,6253.9 ,10310.0 ,68.2 
17-Dec,1300.1 ,2627.1 ,12560.0 ,62.4 
18-Jan,1191.4 ,5778.7 ,14650.0 ,75.2 
18-Feb,1178.4 ,4701.5 ,13430.0 ,58.7 
18-Mar,1531.3 ,4474.5 ,12260.0 ,71.6 
18-Apr,1219.1 ,5305.2 ,16570.0 ,72.7 
